danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.463,0.419,-10.548,137.046,0.0968,0.499,8,6aR8J2wAdRLwbUtmWkqQuj
0.303,0.291,-13.205,135.056,0.148,0.849,13,1upEynw2Rpcp7IKvihjQW1
0.511,0.102,-13.674,106.382,0.0693,0.903,13,3ubMPPsS9YSPDnWNhtQdHF
0.662,0.987,-1.808,99.999,0.0479,0.00431,9,3CW9KBOZUPEcEpjGYE1xW5
0.533,0.966,-0.707,99.963,0.14,0.047,9,6ORIjEQQU6jIIGhCscs5y7
0.409,0.951,-2.123,187.997,0.104,0.00263,15,6dSWJAPcVBn8TPrKqla5LA
0.258,0.921,-3.912,157.797,0.193,0.117,15,5v5rbWpEf9toQLUmMo1JdW
0.518,0.939,-1.603,100.066,0.0723,0.00499,9,6GN7ZWNNqgVZl7t3dgH6ot
0.223,0.981,-0.885,189.586,0.133,0.00336,15,3aPsBE6I6l8eWZB3LN0AdG
0.685,0.754,-5.237,180.009,0.186,0.0622,3,1EBbJK4lkT2dpsgZoaioRD
0.598,0.988,1.147,104.952,0.129,0.142,9,4SGwV4zIwcdGYybJvAj2kz
0.544,0.98,-3.079,100.014,0.116,0.000122,9,0pTxkc8DLhLexqfATjm4Yu
0.541,0.931,-1.832,94.995,0.193,0.000825,9,4jF9Df8yhktHGaRV4UwQ8r
0.746,0.973,-1.268,95.011,0.671,0.00277,14,0kBjy2MP0fx0gqHfIDSy23
0.653,0.971,0.037,99.952,0.185,0.00726,9,4m8YFY4i24ndKnPxpbyNSh
0.399,0.975,-2.489,180.077,0.15,0.0575,15,7Hqzl4HDknxOZTUzWb9duw
0.648,0.938,-2.302,102.481,0.0388,0.00517,9,2xWUGV4FHZkSuB89667jrr
0.304,0.997,-1.444,199.977,0.0707,0.128,15,1uRTpjcx6qdbo9NPWosv8H
0.718,0.985,-0.155,160.045,0.357,0.017,10,647e5w5pkhyX0XTZHRJK4m
0.648,0.976,-0.514,95.141,0.141,0.0203,9,7mXYCi1wA8n8zBN0ud211g
0.71,0.941,-0.34,105.0,0.154,0.00433,9,4DKSnd7K0T9C7xnhIfeRnB
0.535,0.984,-0.281,181.955,0.445,0.0154,10,14IsD2FgLmBaGVsbCm1oIE
0.562,0.985,-1.851,159.99,0.483,0.0471,10,2MkEOJ1yZ1wBk1Sx022OTo
0.626,0.956,-2.299,94.962,0.28,0.02,9,4Tz5h4M9dEVTJPk1x2kImp
0.707,0.989,-1.307,99.987,0.272,0.126,9,4jp0Z4REkbEeGmSgTlf18C
0.572,0.974,-1.559,95.01,0.268,0.052,9,3aD91A4Lk9uGAcyk3fhYsW
0.514,0.949,-0.737,92.5,0.153,0.0104,9,2QXxOoPaqduErHktm3wmRu
0.535,0.969,-0.24,160.066,0.306,0.121,15,4KO7NEzBt47IkcV5MdgICy
0.498,0.954,-3.089,177.916,0.157,0.0569,15,3s3TQQciJdZ6ZlKJoZjdHp
0.468,0.972,-0.576,100.014,0.156,0.0181,9,1tuBppcw5aSqMNnGUmXcid
0.577,0.923,-2.1,99.981,0.0353,0.00594,9,0TYBkC9jZ5b8FPW7kn673t
